nom fichier gif;diamètre du puit (µm);temps dispense (ms);Viscosité de l'encre (Pa.s);shift buse en x (µm);shift buse en z (µm);CA gold;remplissage
800_v101.png;800;20;0,05;0;0;35;0,6
800_v102.png;800;20;0,05;0;0;35;0,8
800_v103.png;800;20;0,05;0;0;15;0,6
800_v104.png;800;20;0,05;0;0;15;0,8
800_v105.png;800;20;0,05;0;-30;35;0,6
800_v106.png;800;20;0,05;0;-30;35;0,8
800_v107.png;800;20;0,05;0;-30;15;0,6
800_v108.png;800;20;0,05;0;-30;15;0,8
800_v109.png;800;20;0,05;-75;0;35;0,6
800_v110.png;800;20;0,05;-75;0;35;0,8
800_v111.png;800;20;0,05;-75;0;15;0,6
800_v112.png;800;20;0,05;-75;0;15;0,8
800_v113.png;800;20;0,05;-75;-30;35;0,6
800_v114.png;800;20;0,05;-75;-30;35;0,8
800_v115.png;800;20;0,05;-75;-30;15;0,6
800_v116.png;800;20;0,05;-75;-30;15;0,8
800_v117.png;800;20;0,5;0;0;35;0,6
800_v118.png;800;20;0,5;0;0;35;0,8
800_v119.png;800;20;0,5;0;0;15;0,6
800_v120.png;800;20;0,5;0;0;15;0,8
800_v121.png;800;20;0,5;0;-30;35;0,6
800_v122.png;800;20;0,5;0;-30;35;0,8
800_v123.png;800;20;0,5;0;-30;15;0,6
800_v124.png;800;20;0,5;0;-30;15;0,8
800_v125.png;800;20;0,5;-75;0;35;0,6
800_v126.png;800;20;0,5;-75;0;35;0,8
800_v127.png;800;20;0,5;-75;0;15;0,6
800_v128.png;800;20;0,5;-75;0;15;0,8
800_v129.png;800;20;0,5;-75;-30;35;0,6
800_v130.png;800;20;0,5;-75;-30;35;0,8
800_v131.png;800;20;0,5;-75;-30;15;0,6
800_v132.png;800;20;0,5;-75;-30;15;0,8
800_v133.png;800;40;0,05;0;0;35;0,6
800_v134.png;800;40;0,05;0;0;35;0,8
800_v135.png;800;40;0,05;0;0;15;0,6
800_v136.png;800;40;0,05;0;0;15;0,8
800_v137.png;800;40;0,05;0;-30;35;0,6
800_v138.png;800;40;0,05;0;-30;35;0,8
800_v139.png;800;40;0,05;0;-30;15;0,6
800_v140.png;800;40;0,05;0;-30;15;0,8
800_v141.png;800;40;0,05;-75;0;35;0,6
800_v142.png;800;40;0,05;-75;0;35;0,8
800_v143.png;800;40;0,05;-75;0;15;0,6
800_v144.png;800;40;0,05;-75;0;15;0,8
800_v145.png;800;40;0,05;-75;-30;35;0,6
800_v146.png;800;40;0,05;-75;-30;35;0,8
800_v147.png;800;40;0,05;-75;-30;15;0,6
800_v148.png;800;40;0,05;-75;-30;15;0,8
800_v149.png;800;40;0,5;0;0;35;0,6
800_v150.png;800;40;0,5;0;0;35;0,8
800_v151.png;800;40;0,5;0;0;15;0,6
800_v152.png;800;40;0,5;0;0;15;0,8
800_v153.png;800;40;0,5;0;-30;35;0,6
800_v154.png;800;40;0,5;0;-30;35;0,8
800_v155.png;800;40;0,5;0;-30;15;0,6
800_v156.png;800;40;0,5;0;-30;15;0,8
800_v157.png;800;40;0,5;-75;0;35;0,6
800_v158.png;800;40;0,5;-75;0;35;0,8
800_v159.png;800;40;0,5;-75;0;15;0,6
800_v160.png;800;40;0,5;-75;0;15;0,8
800_v161.png;800;40;0,5;-75;-30;35;0,6
800_v162.png;800;40;0,5;-75;-30;35;0,8
800_v163.png;800;40;0,5;-75;-30;15;0,6
800_v164.png;800;40;0,5;-75;-30;15;0,8
800_v201.png;800;20;1,5;0;0;35;0,6
800_v202.png;800;20;1,5;0;0;35;0,8
800_v203.png;800;20;1,5;0;0;15;0,6
800_v204.png;800;20;1,5;0;0;15;0,8
800_v205.png;800;20;1,5;0;-30;35;0,6
800_v206.png;800;20;1,5;0;-30;35;0,8
800_v207.png;800;20;1,5;0;-30;15;0,6
800_v208.png;800;20;1,5;0;-30;15;0,8
800_v209.png;800;20;1,5;-75;0;35;0,6
800_v210.png;800;20;1,5;-75;0;35;0,8
800_v211.png;800;20;1,5;-75;0;15;0,6
800_v212.png;800;20;1,5;-75;0;15;0,8
800_v213.png;800;20;1,5;-75;-30;35;0,6
800_v214.png;800;20;1,5;-75;-30;35;0,8
800_v215.png;800;20;1,5;-75;-30;15;0,6
800_v216.png;800;20;1,5;-75;-30;15;0,8
800_v217.png;800;20;5;0;0;35;0,6
800_v218.png;800;20;5;0;0;35;0,8
800_v219.png;800;20;5;0;0;15;0,6
800_v220.png;800;20;5;0;0;15;0,8
800_v221.png;800;20;5;0;-30;35;0,6
800_v222.png;800;20;5;0;-30;35;0,8
800_v223.png;800;20;5;0;-30;15;0,6
800_v224.png;800;20;5;0;-30;15;0,8
800_v225.png;800;20;5;-75;0;35;0,6
800_v226.png;800;20;5;-75;0;35;0,8
800_v227.png;800;20;5;-75;0;15;0,6
800_v228.png;800;20;5;-75;0;15;0,8
800_v229.png;800;20;5;-75;-30;35;0,6
800_v230.png;800;20;5;-75;-30;35;0,8
800_v231.png;800;20;5;-75;-30;15;0,6
800_v232.png;800;20;5;-75;-30;15;0,8
800_v233.png;800;40;1,5;0;0;35;0,6
800_v234.png;800;40;1,5;0;0;35;0,8
800_v235.png;800;40;1,5;0;0;15;0,6
800_v236.png;800;40;1,5;0;0;15;0,8
800_v237.png;800;40;1,5;0;-30;35;0,6
800_v238.png;800;40;1,5;0;-30;35;0,8
800_v239.png;800;40;1,5;0;-30;15;0,6
800_v240.png;800;40;1,5;0;-30;15;0,8
800_v241.png;800;40;1,5;-75;0;35;0,6
800_v242.png;800;40;1,5;-75;0;35;0,8
800_v243.png;800;40;1,5;-75;0;15;0,6
800_v244.png;800;40;1,5;-75;0;15;0,8
800_v245.png;800;40;1,5;-75;-30;35;0,6
800_v246.png;800;40;1,5;-75;-30;35;0,8
800_v247.png;800;40;1,5;-75;-30;15;0,6
800_v248.png;800;40;1,5;-75;-30;15;0,8
800_v249.png;800;40;5;0;0;35;0,6
800_v250.png;800;40;5;0;0;35;0,8
800_v251.png;800;40;5;0;0;15;0,6
800_v252.png;800;40;5;0;0;15;0,8
800_v253.png;800;40;5;0;-30;35;0,6
800_v254.png;800;40;5;0;-30;35;0,8
800_v255.png;800;40;5;0;-30;15;0,6
800_v256.png;800;40;5;0;-30;15;0,8
800_v257.png;800;40;5;-75;0;35;0,6
800_v258.png;800;40;5;-75;0;35;0,8
800_v259.png;800;40;5;-75;0;15;0,6
800_v260.png;800;40;5;-75;0;15;0,8
800_v261.png;800;40;5;-75;-30;35;0,6
800_v262.png;800;40;5;-75;-30;35;0,8
800_v263.png;800;40;5;-75;-30;15;0,6
800_v264.png;800;40;5;-75;-30;15;0,8
800_v301.png;800;20;1,5;0;0;75;0,6
800_v302.png;800;20;1,5;0;0;75;0,8
800_v303.png;800;20;1,5;0;-30;75;0,6
800_v304.png;800;20;1,5;0;-30;75;0,8
800_v305.png;800;20;1,5;-75;0;75;0,6
800_v306.png;800;20;1,5;-75;0;75;0,8
800_v307.png;800;20;1,5;-75;-30;75;0,6
800_v308.png;800;20;1,5;-75;-30;75;0,8
800_v309.png;800;20;5;0;0;75;0,6
800_v310.png;800;20;5;0;0;75;0,8
800_v311.png;800;20;5;0;-30;75;0,6
800_v312.png;800;20;5;0;-30;75;0,8
800_v313.png;800;20;5;-75;0;75;0,6
800_v314.png;800;20;5;-75;0;75;0,8
800_v315.png;800;20;5;-75;-30;75;0,6
800_v316.png;800;20;5;-75;-30;75;0,8
800_v317.png;800;40;1,5;0;0;75;0,6
800_v318.png;800;40;1,5;0;0;75;0,8
800_v319.png;800;40;1,5;0;-30;75;0,6
800_v320.png;800;40;1,5;0;-30;75;0,8
800_v321.png;800;40;1,5;-75;0;75;0,6
800_v322.png;800;40;1,5;-75;0;75;0,8
800_v323.png;800;40;1,5;-75;-30;75;0,6
800_v324.png;800;40;1,5;-75;-30;75;0,8
800_v325.png;800;40;5;0;0;75;0,6
800_v326.png;800;40;5;0;0;75;0,8
800_v327.png;800;40;5;0;-30;75;0,6
800_v328.png;800;40;5;0;-30;75;0,8
800_v329.png;800;40;5;-75;0;75;0,6
800_v330.png;800;40;5;-75;0;75;0,8
800_v331.png;800;40;5;-75;-30;75;0,6
800_v332.png;800;40;5;-75;-30;75;0,8
